CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	LHIST	DISPERSAL	LIGHT	LIGHT_TOLERANCE	NITROGEN	NITROGEN_TOLERANCE	MOISTURE	GRAZ_MOW_TOLERANCE	PALATABILITY
662				Herbaceous	Therophyte		3	1	4	1	3		
663			62.5	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	4	1	2.5		
667			55	Herbaceous	Geophyte_Hemicryptophyte	2			1				
672			60	Herbaceous	Geophyte_Hemicryptophyte	7	3	1	3	1	2		
678			50	Herbaceous	Therophyte	6	4	1	4	1	2		
682				Herbaceous	Therophyte		4	2	4	1	2		
683			30	Herbaceous	Therophyte	6	4	2	4	1	1.5		
684				unknown		6			4				
691	0.5	5	60	Herbaceous	Geophyte_Hemicryptophyte	6	3	1	4	1	3		
692			36.75	Herbaceous	Therophyte	6	4	1	4	1	2		
701			12.5	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	1.5	1	1		
703			70	Herbaceous	Geophyte_Hemicryptophyte	2	2	1	3	1	2		
704			26	Herbaceous	Therophyte	6	4	1	2.5	1	2.5		
708				Frutescent	Phanerophyte		5	1	2	1	3		
710		3	27.5	Suffrutescent	Chamaephyte_S	2	3	1	4	1	3		
711		2	31.5	Suffrutescent	Chamaephyte_S	3	2	1	3	1	3		
715		300	1150	Frutescent	Phanerophyte	6	2	1	2.5	1	2.5		
721		450	700	Frutescent	Phanerophyte	6	2	2	3	2	3		
732		7	50	Herbaceous	Geophyte_Hemicryptophyte	2	3	2	4	1	3.5		
737				Herbaceous	Geophyte_Hemicryptophyte		3	2	4	1	3.5		
738			28.75	Herbaceous	Geophyte_Hemicryptophyte	1	4	2	2.5	1	1.5		
742			30	Herbaceous	Geophyte_Hemicryptophyte	2	4	2	4	1	3		
745	1		8	Herbaceous	Geophyte_Hemicryptophyte	3	2	2	3	1	3.5		
754		4	100	Herbaceous	Geophyte_Hemicryptophyte	5	4	1	3	1	3	1	
761	1	5	65	Herbaceous	Geophyte_Hemicryptophyte	5	3	1	2	1	2.5		
767			120	Herbaceous	Chamaephyte_H	3			2				
771			40	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	2	1	3.5	2	
772		15	21	Herbaceous	Geophyte_Hemicryptophyte	1	5	1	2	1	3	2	
774			40	Herbaceous	Chamaephyte_H	2	4	1	3.5	1	2	2	
776			60	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	4	2	3	3	
781		23	12.25	Herbaceous	Chamaephyte_H	1	5	1	2	1	3	2	
782			10	Herbaceous	Chamaephyte_H	1	5	1	2	1	3	2	
784				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	1.5	2	
785		3	70	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	4	1	3	2	
786	1	7	19	Herbaceous	Chamaephyte_H	7	4	1	3	2	2	3	4
788				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	3	3	
789		7		unknown	Chamaephyte_H		4	1	3	2	2	3	
790				unknown									4
796	3	7	1.875	Herbaceous	Geophyte_Hemicryptophyte	1	5	1	1.5	1	3	1	4
797			45	Herbaceous	Chamaephyte_H	2	4	1	2	1	2	2	
799			30	Herbaceous	Chamaephyte_H	2	4	1	2	1	1.5	1	
802			50	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	3	1	4	2	
809			25	Herbaceous	Chamaephyte_H	1	4	1	2	1	1	2	
810				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	2	1	
828	1	1	80	Herbaceous	Therophyte	7	4	2	4	1	2		
834				Herbaceous	Therophyte		4	1	4	1	2		
839				unknown	Geophyte_Hemicryptophyte		4	1	2	1	2.5		
841			50	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	3	1	2	1	
845		13	10	Herbaceous	Geophyte_Hemicryptophyte	4	4	1	2	1	2.5	3	
846	2	5	1.5	Herbaceous	Chamaephyte_H	5	4	1	1.5	1	2	4	4
847			450	Herbaceous	Phanerophyte	2	4	1	3.5	1	1.5	2	
848			26	Herbaceous	Therophyte	5	4	1	2.5	1	2.5		
849			25	Herbaceous	Therophyte	5	4	1	2.5	1	1.5		
853				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	2.5		
858		1	34.5	Herbaceous	Therophyte	2	4	1	3	1	2	2	
861			20	Suffrutescent	Chamaephyte_S	1	4	1	2	1	1.5		
865			30	Suffrutescent	Chamaephyte_S	2	4	1	2	1	1		
883			40	Suffrutescent	Chamaephyte_S	7	4	1	2.5	1	1.5	2	
887			40	Herbaceous	Chamaephyte_H	2	4	1	2.5	1	1.5		
889			15	Herbaceous	Geophyte_Hemicryptophyte	3	3	2	3	1	3.5	2	
