"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"Crepis aurea (L.) Cass.",37.5,4,24,4,0.5,7.27083333333333,24,"all"
"Crepis biennis L.",37.5,4,11,4,0.5,15.2727272727273,11,"all"
"Crepis bocconi P.D. Sell",0.5,1,1,0,0.5,0.5,1,"all"
"Crepis conyzifolia (Gouan) A. Kerner",37.5,4,14,4,0.5,11.0714285714286,14,"all"
"Crepis paludosa (L.) Moench",37.5,6,23,6,0.5,12.0434782608696,23,"all"
"Crepis pyrenaica (L.) W. Greuter",37.5,11,34,11,0.5,13.75,34,"all"
"Crepis setosa Haller fil.",37.5,1,1,1,37.5,37.5,1,"all"
"Crepis vesicaria L. subsp. taraxacifolia (Thuill.) Schinz & R. Keller",0.5,2,2,0,0.5,0.5,2,"all"
"Crocus albiflorus Kit. (b.)",0.5,1,1,0,0.5,0.5,1,"all"
"Crocus vernus (L.) Hill subsp. albiflorus (Kit.) Cesati",0.5,7,7,0,0.5,0.5,7,"all"
"Cruciata laevipes Opiz",37.5,2,3,2,37.5,25.1666666666667,3,"all"
"Cryptogramma crispa (L.) R. Br. ex Hooker",37.5,4,16,4,0.5,12.46875,16,"all"
"Cuscuta epithymum (L.) L.",37.5,1,7,1,0.5,5.78571428571429,7,"all"
"Cuscuta europaea L.",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Cynoglossum officinale L.",37.5,1,1,1,37.5,37.5,1,"all"
"Cynosurus cristatus L.",37.5,9,16,9,37.5,22.21875,16,"all"
"Cystopteris alpina (Lam.) Desv.",0.5,1,1,0,0.5,0.5,1,"all"
"Cystopteris fragilis (L.) Bernh.",0.5,2,2,0,0.5,0.5,2,"all"
"Dactylis glomerata L.",37.5,27,67,27,15,17.5746268656716,67,"all"
"Dactylis glomerata L. subsp. glomerata",37.5,17,30,17,37.5,24.85,30,"all"
"Dactylorhiza fuchsii (Druce) So., 1962",37.5,1,1,1,37.5,37.5,1,"all"
"Dactylorhiza incarnata (L.) So.",37.5,1,9,1,0.5,6.22222222222222,9,"all"
"Dactylorhiza latifolia (L.) So.",0.5,8,8,0,0.5,0.5,8,"all"
"Dactylorhiza maculata (L.) So.",37.5,5,14,5,0.5,13.7142857142857,14,"all"
"Dactylorhiza majalis (Reichenb.) P.F. Hunt & Summerhay",37.5,6,21,6,0.5,11.7619047619048,21,"all"
"Dactylorhiza sambucina (L.) So.",0.5,4,4,0,0.5,0.5,4,"all"
"Dactylorhiza traunsteineri (Saut.) So., 1962",37.5,1,1,1,37.5,37.5,1,"all"
"Danthonia decumbens (L.) DC.",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Daphne mezereum L.",0.5,5,5,0,0.5,0.5,5,"all"
"Daucus carota L.",37.5,2,23,2,0.5,3.71739130434783,23,"all"
"Daucus carota L. subsp. carota",37.5,5,12,5,15,18.3333333333333,12,"all"
