code_cbna	libelle
40517	Dactylorhiza traunsteineri (Saut.) So¾, 1962
40520	Dianthus deltoides L., 1753
40523	Hierochloe odorata (L.) P.Beauv., 1812
40527	Gnaphalium uliginosum L., 1753
40529	Holcus mollis L., 1759
40551	Parnassia palustris L., 1753
40553	Petasites hybridus (L.) P.Gaertn., B.Mey. & Scherb. , 1801
40556	Potentilla anserina L., 1753
40560	Rorippa sylvestris (L.) Besser, 1821
40566	Vaccinium vitis-idaea L., 1753
40592	Lathyrus palustris L., 1753
40602	Thymus praecox Opiz subsp. praecox
40603	Thymus serpyllum groupe
40655	Erica herbacea L.
13	Acer monspessulanum L.
15	Acer monspessulanum L. subsp. martinii (Jordan) P. Fourn.
16	Acer monspessulanum L. subsp. monspessulanum
19	Acer opalus Miller
22	Acer platanoides L.
24	Acer saccharinum L.
26	Actinidia chinensis Planch.
28	Adoxa moschatellina L.
60	Tetragonia tetragonoides (Pallas) O. Kuntze
66	Amaranthus albus L.
70	Amaranthus blitoides S. Watson
71	Amaranthus blitum L.
73	Amaranthus blitum L. subsp. emarginatus (Moq. ex Uline & Bray) Carreter
77	Amaranthus caudatus L.
80	Amaranthus crispus (Lesp. & ThÚv.) N. Terrac.
81	Amaranthus cruentus L.
83	Amaranthus deflexus L.
85	Amaranthus graecizans L.
87	Amaranthus graecizans L. subsp. silvestris (Vill.) Brenan
88	Amaranthus hybridus L.
91	Amaranthus hybridus L. var. erythrostachys Moq.
93	Amaranthus hybridus L. var. pseudoretroflexus (Thell.) Carretero
98	Amaranthus palmeri S. Watson
104	Amaranthus retroflexus L.
108	Amaranthus spinosus L.
109	Amaranthus standleyanus Parodi ex Covas
111	Amaranthus viridis L.
118	Cotinus coggygria Scop.
120	Pistacia lentiscus L.
122	Pistacia terebinthus L.
127	Rhus hirta (L.) Sudworth
140	Aethusa cynapium L.
144	Aethusa cynapium L. subsp. elata Hoffm. ex Sch³bl. & Martens
149	Ammi majus L.
154	Anethum graveolens L.
156	Angelica archangelica L.
162	Anthriscus caucalis M. Bieb.
163	Anthriscus cerefolium (L.) Hoffm.
167	Anthriscus nitida (Wahlenb.) Garcke
170	Anthriscus sylvestris (L.) Hoffm. subsp. alpina (Vill.) Gremli [1874]
178	Apium graveolens L.
182	Apium inundatum (L.) Reichenb. fil.
184	Apium nodiflorum (L.) Lag.
188	Apium repens (Jacq.) Lag.
192	Astrantia major L. subsp. involucrata (Koch) Cesati
197	Astrantia minor L.
199	Athamanta cretensis L.
205	Berula erecta (Hudson) Coville
208	Bifora radians M. Bieb.
209	Bifora testiculata (L.) Sprengel in Schultes
215	Bunium bulbocastanum L.
226	Bupleurum alpigenum Jordan & Fourr.
229	Bupleurum baldense Turra
233	Bupleurum falcatum L.
234	Bupleurum falcatum L. subsp. cernuum (Ten) Arcangeli
240	Bupleurum fruticosum L.
249	Bupleurum longifolium L.
251	Bupleurum petraeum L.
252	Bupleurum praealtum L.
257	Bupleurum ranunculoides L. subsp. telonense (Gren. ex Timb.-Lagr.) Bonnier
258	Bupleurum rigidum L.
259	Bupleurum rotundifolium L.
262	Bupleurum stellatum L.
268	Cachrys trifida Miller
273	Carum verticillatum (L.) Koch
284	Caucalis platycarpos L. [1753]
291	Chaerophyllum bulbosum L.
293	Chaerophyllum elegans Gaudin
301	Chaerophyllum temulum L.
302	Chaerophyllum villarsii Koch
308	Conium maculatum L.
310	Conopodium majus (Gouan) Loret
315	Coriandrum sativum L.
362	Eryngium alpinum L.
368	Eryngium spinalba Vill.
372	Falcaria vulgaris Bernh.
384	Ferulago campestris (Besser) Grec.
390	Foeniculum vulgare Miller subsp. piperitum (Ucria) Coutinho
391	Foeniculum vulgare Miller subsp. vulgare
410	Heracleum mantegazzianum Sommier & Levier
414	Heracleum pumilum Vill.
420	Heracleum sphondylium L. subsp. alpinum (L.) Bonnier & Layens
423	Heracleum sphondylium L. subsp. elegans (Crantz) Sch³bler & Martens
426	Heracleum sphondylium L. subsp. pyrenaicum (Lam.) Bonnier & Layens
428	Heracleum sphondylium L. subsp. sibiricum (L.) Simonkai
433	Hydrocotyle ranunculoides L. fil.
437	Hydrocotyle vulgaris L.
438	Imperatoria ostruthium L. (b.)
442	Laser trilobum (L.) Borckh.
445	Laserpitium gallicum L.
446	Laserpitium halleri Crantz
449	Laserpitium latifolium L.
455	Laserpitium prutenicum L. subsp. prutenicum
457	Laserpitium siler L.
459	Levisticum officinale Koch
484	Molopospermum peloponnesiacum (L.) Koch
487	Myrrhis odorata (L.) Scop.
488	Myrrhoides nodosa (L.) Cannon
490	Oenanthe aquatica (L.) Poiret
492	Oenanthe fistulosa L.
497	Oenanthe lachenalii C.C. Gmelin
499	Oenanthe peucedanifolia Pollich
503	Oenanthe pimpinelloides L.
504	Oenanthe silaifolia M. Bieb.
506	Opopanax chironium (L.) Koch
507	Orlaya daucoides (L.) W. Greuter
508	Orlaya grandiflora (L.) Hoffm.
518	Pastinaca sativa L. subsp. sylvestris (Miller) Rouy & Camus
519	Pastinaca sativa L. subsp. urens (Req. ex Godron) Celak.
522	Petroselinum crispum (Miller) A.W. Hill
554	Physospermum cornubiense (L.) DC.
555	Pimpinella anisum L.
563	Pimpinella peregrina L.
571	Pimpinella tragium Vill.
572	Pleurospermum austriacum (L.) Hoffm.
579	Ptychotis saxifraga (L.) Loret & Barrandon
584	Ridolfia segetum Moris
590	Scandix australis L. subsp. australis
603	Scandix pecten-veneris L. subsp. hispanica (Boiss.) Bonnier & Layens
605	Scandix pecten-veneris L. subsp. pecten-veneris
606	Scandix stellata Banks & Solander
617	Seseli annuum L.
619	Seseli annuum L. subsp. carvifolium (Vill.) P. Fourn.
627	Seseli galloprovinciale Reduron [1993]
633	Seseli montanum L.
645	Seseli tortuosum L.
652	Sison amomum L.
659	Sium latifolium L.
663	Smyrnium perfoliatum L.
672	Tordylium maximum L.
678	Torilis arvensis (Hudson) Link subsp. arvensis
683	Torilis arvensis (Hudson) Link subsp. purpurea (Ten.) Hayek
691	Torilis japonica (Houtt.) DC.
692	Torilis leptophylla (L.) Reichenb. fil.
701	Trinia glauca (L.) Dumort.
703	Trochiscanthes nodiflora (All.) Koch
704	Turgenia latifolia (L.) Hoffm.
708	Nerium oleander L.
710	Vinca major L.
711	Vinca minor L.
715	Ilex aquifolium L.
721	Hedera helix L.
732	Aristolochia clematitis L.
737	Aristolochia paucinervis Pomel
738	Aristolochia pistolochia L.
742	Aristolochia rotunda L. subsp. rotunda
745	Asarum europaeum L.
754	Asclepias syriaca L.
761	Vincetoxicum hirundinaria Medik.
771	Achillea ageratum L.
772	Achillea atrata L.
774	Achillea crithmifolia Waldst. & Kit.
776	Achillea distans Waldst. & Kit. ex Willd.
781	Achillea erba-rotta All. subsp. erba-rotta
782	Achillea erba-rotta All. subsp. moschata (Wulfen) Vaccari
784	Achillea ligustica All.
785	Achillea macrophylla L.
786	Achillea millefolium L.
788	Achillea millefolium L. subsp. alpestris (Wimm. & Grab.) Gremli
789	Achillea millefolium L. subsp. ceretana Sennen
796	Achillea nana L.
797	Achillea nobilis L.
799	Achillea odorata L.
802	Achillea ptarmica L. subsp. ptarmica
809	Achillea tomentosa L.
810	Achillea virescens (Fenzl) Heimerl
828	Ambrosia artemisiifolia L.
834	Ambrosia trifida L.
839	Anaphalis margaritacea (L.) Benth.
841	Andryala integrifolia L.
845	Antennaria carpatica (Wahlenb.) Bluff & Fingerh.
